date,amount,category,description
2025-05-01,-850.50,groceries,DMart
2025-05-01,-650.30,utilities,Electricity Bill
2025-05-01,-280.00,dining,Local Restaurant
2025-05-01,-180.00,transportation,Metro Card
2025-05-02,-12000.00,rent,Monthly Rent
2025-05-02,-420.20,groceries,Big Bazaar
2025-05-02,-320.00,dining,KFC
2025-05-03,-550.40,transportation,Auto Fare
2025-05-03,-199.00,entertainment,Netflix Subscription
2025-05-04,-680.90,groceries,Reliance Fresh
2025-05-04,-450.60,utilities,Water Bill
2025-05-05,-350.50,shopping,Flipkart
2025-05-05,-380.00,dining,Local Restaurant
2025-05-06,-520.40,utilities,Internet Bill
2025-05-06,-750.60,groceries,More Supermarket
2025-05-07,-129.00,entertainment,Spotify Premium
2025-05-07,-550.20,transportation,Bus Pass
2025-05-08,-920.80,groceries,DMart
2025-05-08,-680.30,transportation,Fuel
2025-05-09,-1250.25,shopping,Amazon
2025-05-09,-450.00,entertainment,Amazon Prime
2025-05-10,-850.60,groceries,Big Bazaar
2025-05-10,-320.50,dining,Local Restaurant
2025-05-11,-650.00,utilities,Internet Bill
2025-05-11,-550.40,transportation,Auto Fare
2025-05-12,-720.40,groceries,Big Basket
2025-05-12,-199.00,entertainment,Hotstar Premium
2025-05-13,-680.90,transportation,Uber
2025-05-13,-950.20,groceries,Reliance Fresh
2025-05-14,-550.60,utilities,Water Bill
2025-05-14,-420.00,transportation,Metro Card
2025-05-15,56251.74,income,Monthly Salary
2025-05-15,-920.80,groceries,DMart
2025-05-15,-380.00,entertainment,Netflix Subscription
2025-05-16,-680.30,transportation,Fuel
2025-05-16,-850.60,groceries,More Supermarket
2025-05-17,-550.40,utilities,Internet Bill
2025-05-17,-420.20,groceries,Big Bazaar
2025-05-18,-750.60,shopping,Myntra
2025-05-18,-320.00,dining,Local Restaurant
2025-05-19,-199.00,entertainment,Spotify Premium
2025-05-19,-380.50,transportation,Bus Pass
2025-05-20,-680.90,groceries,Reliance Fresh
2025-05-20,-550.20,utilities,Water Bill
2025-05-21,-450.60,utilities,Water Bill
2025-05-21,-920.30,groceries,Kirana Store
2025-05-22,-550.60,shopping,Amazon
2025-05-22,-380.00,dining,Local Restaurant
2025-05-23,-320.00,dining,KFC
2025-05-23,-199.00,entertainment,YouTube Premium
2025-05-24,-850.60,groceries,Big Bazaar
2025-05-24,-680.00,utilities,Electricity Bill
2025-05-25,-180.10,transportation,Metro Card
2025-05-25,-550.80,dining,Local Restaurant
2025-05-26,-750.60,shopping,Flipkart
2025-05-26,-420.20,groceries,DMart
2025-05-27,-680.90,groceries,Reliance Fresh
2025-05-27,-380.50,transportation,Auto Fare
2025-05-28,-550.40,utilities,Internet Bill
2025-05-28,-920.80,groceries,More Supermarket
2025-05-29,-350.50,shopping,Flipkart
2025-05-29,-199.00,entertainment,Netflix Subscription
2025-05-30,-680.30,transportation,Fuel
2025-05-30,-850.60,groceries,Big Basket
2025-05-31,-550.60,utilities,Water Bill
2025-05-31,-320.00,dining,Local Restaurant
2025-06-01,-1100.75,groceries,DMart
2025-06-01,-580.20,utilities,Water Bill
2025-06-01,-480.00,dining,Local Restaurant
2025-06-02,-12000.00,rent,Monthly Rent
2025-06-02,-720.30,transportation,Fuel
2025-06-02,-450.99,shopping,Flipkart
2025-06-03,-950.10,groceries,Big Basket
2025-06-03,-599.00,entertainment,Amazon Prime
2025-06-04,-550.75,utilities,Electricity Bill
2025-06-04,-250.50,transportation,Uber
2025-06-05,-880.20,shopping,Myntra
2025-06-05,-620.30,dining,Domino's Pizza
2025-06-06,-850.40,utilities,LPG Cylinder
2025-06-06,-680.90,transportation,Auto Fare
2025-06-07,-920.80,groceries,Reliance Fresh
2025-06-07,-380.00,entertainment,Movie Tickets
2025-06-08,-550.40,utilities,Internet Bill
2025-06-08,-420.20,groceries,Big Bazaar
2025-06-09,-750.60,shopping,Amazon
2025-06-09,-320.00,dining,Local Restaurant
2025-06-10,-680.30,transportation,Fuel
2025-06-10,-850.60,groceries,DMart
2025-06-11,-550.60,utilities,Water Bill
2025-06-11,-199.00,entertainment,Netflix Subscription
2025-06-12,-920.30,groceries,Kirana Store
2025-06-12,-380.50,transportation,Bus Pass
2025-06-13,-680.90,groceries,More Supermarket
2025-06-13,-550.20,utilities,Electricity Bill
2025-06-14,-450.00,entertainment,Spotify Premium
2025-06-14,-750.60,shopping,Flipkart
2025-06-15,66634.43,income,Monthly Salary
2025-06-15,-850.60,groceries,Big Basket
2025-06-15,-680.00,utilities,Water Bill
2025-06-16,-550.40,transportation,Metro Card
2025-06-16,-420.20,groceries,Reliance Fresh
2025-06-17,-599.00,entertainment,Amazon Prime
2025-06-17,-920.80,groceries,DMart
2025-06-18,-750.60,shopping,Myntra
2025-06-18,-320.00,dining,Local Restaurant
2025-06-19,-950.10,groceries,Big Basket
2025-06-19,-380.50,transportation,Auto Fare
2025-06-20,-550.60,utilities,Internet Bill
2025-06-20,-680.90,groceries,More Supermarket
2025-06-21,-550.75,utilities,Electricity Bill
2025-06-21,-199.00,entertainment,Hotstar Premium
2025-06-22,-850.60,shopping,Amazon
2025-06-22,-420.20,groceries,Big Bazaar
2025-06-23,-250.50,transportation,Uber
2025-06-23,-550.40,utilities,Water Bill
2025-06-24,-920.80,groceries,Reliance Fresh
2025-06-24,-380.00,dining,Local Restaurant
2025-06-25,-450.00,entertainment,Movie Tickets
2025-06-25,-680.30,transportation,Fuel
2025-06-26,-750.60,shopping,Flipkart
2025-06-26,-550.60,utilities,Internet Bill
2025-06-27,-880.20,shopping,Myntra
2025-06-27,-850.60,groceries,DMart
2025-06-28,-920.30,groceries,Kirana Store
2025-06-28,-199.00,entertainment,YouTube Premium
2025-06-29,-620.30,dining,Domino's Pizza
2025-06-29,-380.50,transportation,Bus Pass
2025-06-30,-680.90,groceries,Big Basket
2025-06-30,-550.20,utilities,Water Bill
2025-07-01,-1350.32,groceries,DMart
2025-07-01,-750.50,utilities,Electricity Bill
2025-07-01,-880.20,dining,Local Restaurant
2025-07-02,-12000.00,rent,Monthly Rent
2025-07-02,-650.60,transportation,Auto Fare
2025-07-02,-1150.00,shopping,Amazon Sale
2025-07-03,-920.10,utilities,Internet Bill
2025-07-03,-1050.80,groceries,Big Bazaar
