date,amount,category,description
2024-01-01,-12000.00,rent,Monthly Rent
2024-01-01,-850.50,groceries,DMart
2024-01-01,-650.30,utilities,Electricity Bill
2024-01-02,-280.00,dining,Local Restaurant
2024-01-02,-550.40,transportation,Auto Fare
2024-01-03,-199.00,entertainment,Netflix Subscription
2024-01-03,-950.25,shopping,Amazon
2024-01-04,-650.00,utilities,Internet Bill
2024-01-04,-420.20,groceries,Big Bazaar
2024-01-05,-129.00,entertainment,Spotify Premium
2024-01-05,-450.60,utilities,Water Bill
2024-01-06,-320.00,dining,KFC
2024-01-06,-180.10,transportation,Metro Card
2024-01-07,-680.90,groceries,Reliance Fresh
2024-01-07,-350.50,shopping,Flipkart
2024-01-08,-520.40,utilities,Electricity Bill
2024-01-08,-380.00,dining,Local Restaurant
2024-01-09,-750.60,groceries,More Supermarket
2024-01-09,-199.00,entertainment,Amazon Prime
2024-01-10,-550.40,transportation,Fuel
2024-01-10,-920.80,groceries,DMart
2024-01-11,-680.30,transportation,Uber
2024-01-11,-550.60,utilities,Internet Bill
2024-01-12,-850.60,shopping,Myntra
2024-01-12,-420.20,groceries,Big Bazaar
2024-01-13,-320.00,dining,Local Restaurant
2024-01-13,-199.00,entertainment,Hotstar Premium
2024-01-14,-750.60,shopping,Flipkart
2024-01-14,-550.40,utilities,Water Bill
2024-01-15,54484.86,income,Monthly Salary
2024-01-15,-920.80,groceries,Reliance Fresh
2024-01-15,-680.00,utilities,Electricity Bill
2024-01-16,-550.60,transportation,Metro Card
2024-01-16,-420.20,groceries,DMart
2024-01-17,-320.00,dining,KFC
2024-01-17,-199.00,entertainment,YouTube Premium
2024-01-18,-850.60,shopping,Amazon
2024-01-18,-550.40,utilities,Internet Bill
2024-01-19,-180.10,transportation,Metro Card
2024-01-19,-920.30,groceries,Kirana Store
2024-01-20,-680.90,groceries,More Supermarket
2024-01-20,-380.00,entertainment,Netflix Subscription
2024-01-21,-550.20,utilities,Water Bill
2024-01-21,-680.90,groceries,Reliance Fresh
2024-01-22,-750.60,shopping,Myntra
2024-01-22,-320.00,dining,Local Restaurant
2024-01-23,-350.50,shopping,Flipkart
2024-01-23,-550.40,utilities,Electricity Bill
2024-01-24,-920.80,groceries,Big Bazaar
2024-01-24,-199.00,entertainment,Spotify Premium
2024-01-25,-520.40,utilities,Electricity Bill
2024-01-25,-680.30,transportation,Fuel
2024-01-26,-850.60,groceries,DMart
2024-01-26,-550.60,utilities,Internet Bill
2024-01-27,-380.00,dining,Local Restaurant
2024-01-27,-420.20,groceries,Reliance Fresh
2024-01-28,-750.60,shopping,Flipkart
2024-01-28,-199.00,entertainment,Amazon Prime
2024-01-29,-750.60,groceries,More Supermarket
2024-01-29,-550.40,transportation,Bus Pass
2024-01-30,-920.80,groceries,Big Basket
2024-01-30,-680.00,utilities,Water Bill
2024-01-31,-550.60,utilities,Electricity Bill
2024-01-31,-320.00,dining,Local Restaurant
2024-02-01,-12000.00,rent,Monthly Rent
2024-02-01,-1100.75,groceries,DMart
2024-02-01,-580.20,utilities,Water Bill
2024-02-02,-720.30,transportation,Fuel
2024-02-02,-480.00,dining,Local Restaurant
2024-02-03,-450.99,shopping,Flipkart
2024-02-03,-850.40,utilities,LPG Cylinder
2024-02-04,-599.00,entertainment,Amazon Prime
2024-02-04,-950.10,groceries,Big Basket
2024-02-05,-550.75,utilities,Electricity Bill
2024-02-05,-250.50,transportation,Uber
2024-02-06,-450.00,entertainment,Movie Tickets
2024-02-06,-880.20,shopping,Myntra
2024-02-07,-620.30,dining,Domino's Pizza
2024-02-07,-920.80,groceries,Reliance Fresh
2024-02-08,-680.30,transportation,Auto Fare
2024-02-08,-550.40,utilities,Internet Bill
