date,amount,category,description
2025-07-02,-75.32,groceries,Whole Foods Market
2025-07-05,-1200.00,rent,Monthly Rent
2025-07-10,-60.50,utilities,Electric Bill
2025-07-12,-34.99,entertainment,Netflix Subscription
2025-07-15,3500.00,income,Paycheck
2025-08-03,-82.10,groceries,Kroger
2025-08-05,-1200.00,rent,Monthly Rent
2025-08-09,-45.20,utilities,Water Bill
2025-08-14,-28.75,dining,Starbucks Coffee
2025-08-15,3500.00,income,Paycheck
2025-09-01,-90.45,groceries,Target Grocery
2025-09-05,-1200.00,rent,Monthly Rent
2025-09-11,-58.33,utilities,Internet Bill
2025-09-18,-42.85,transportation,Uber Ride
2025-09-15,3500.00,income,Paycheck

